Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Body mass index,Absenteeism time in hours
7,3,289,36,13,33,"239,554",97,0,1,2,1,0,30,4
7,3,118,13,18,50,"239,554",97,1,1,1,1,0,31,0
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,31,2
7,5,279,5,14,39,"239,554",97,0,1,2,1,1,24,4
7,5,289,36,13,33,"239,554",97,0,1,2,1,0,30,2
7,6,179,51,18,38,"239,554",97,0,1,0,1,0,31,
7,6,,52,3,28,"239,554",97,0,1,1,1,0,27,8
7,6,260,50,11,36,"239,554",97,0,1,4,1,0,23,4
7,2,155,12,14,34,"239,554",97,0,1,2,1,0,25,40
7,2,235,11,14,37,"239,554",97,0,3,1,0,0,29,8
7,2,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,3,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,4,260,50,11,36,"239,554",97,0,1,4,1,0,23,8
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,31,1
7,4,179,51,18,38,"239,554",97,0,1,0,1,0,,4
7,6,246,25,16,41,"239,554",97,0,1,0,1,0,,
7,6,,51,18,38,"239,554",97,0,1,0,1,0,31,2
7,2,179,51,18,38,"239,554",97,0,1,0,1,0,31,8
7,5,189,29,13,33,"239,554",97,0,1,2,0,0,25,8
8,4,248,25,14,47,"205,917",92,0,1,2,0,0,32,2
8,4,330,16,4,28,"205,917",92,0,2,0,0,0,25,
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,1
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,40
8,6,260,50,11,36,"205,917",92,0,1,4,1,0,23,4
8,2,289,36,13,33,"205,917",92,0,1,2,1,0,,8
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,7
8,3,289,36,13,33,"205,917",92,0,1,2,1,0,30,1
8,4,157,27,6,29,"205,917",92,0,1,0,1,1,,4
8,4,289,36,13,33,"205,917",92,0,1,2,1,0,30,8
8,6,179,51,18,38,"205,917",92,0,1,0,1,0,31,2
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,8
8,5,235,29,12,48,"205,917",92,0,1,1,0,1,,8
8,5,,11,14,37,"205,917",92,0,3,1,0,0,29,4
8,2,235,29,12,48,"205,917",92,0,1,1,0,1,33,8
8,2,179,51,18,38,"205,917",92,0,1,0,1,0,31,2
8,2,361,52,3,28,"205,917",92,0,1,1,1,0,27,1
8,3,289,36,13,33,"205,917",92,0,1,2,1,0,30,8
8,5,291,50,12,32,"205,917",92,0,1,0,1,0,,4
8,6,235,29,12,48,"205,917",92,0,1,1,0,1,33,8
8,6,260,50,11,36,"205,917",92,0,1,4,1,0,23,4
9,3,184,42,7,27,"241,476",92,0,1,0,0,0,21,2
9,2,118,10,10,37,"241,476",92,0,1,0,0,0,,4
9,3,179,51,18,38,"241,476",92,0,1,0,1,0,,4
9,3,235,20,13,43,"241,476",92,0,1,1,1,0,38,8
9,4,155,12,14,34,"241,476",92,0,1,2,1,0,25,2
9,2,118,,10,37,"241,476",92,0,1,0,0,0,28,3
9,3,179,51,18,38,"241,476",92,0,1,0,1,0,31,3
9,5,291,31,12,40,"241,476",92,0,1,1,1,0,25,4
9,6,260,50,11,36,"241,476",92,0,1,4,1,0,23,
9,2,,31,12,40,"241,476",92,0,1,1,1,0,25,32
9,2,,50,11,36,"241,476",92,,1,4,1,0,23,
9,2,225,26,9,28,"241,476",92,1,1,1,0,0,24,0
9,3,225,26,9,28,"241,476",92,0,1,1,0,0,,2
9,3,118,10,10,37,"241,476",92,0,1,0,0,0,,2
9,3,289,36,13,33,"241,476",92,1,1,2,1,0,30,0
9,3,118,13,18,50,,92,1,1,1,1,0,31,
9,4,225,26,9,28,"241,476",92,0,1,1,0,0,,3
9,4,179,51,18,38,"241,476",92,0,1,0,1,0,,3
9,4,369,17,12,31,"241,476",92,1,1,3,1,0,,0
9,6,248,25,14,47,"241,476",92,0,1,2,0,0,32,1
9,6,179,51,18,38,"241,476",92,0,1,0,1,0,31,3
9,6,260,50,11,36,"241,476",92,0,1,4,1,0,23,4
10,3,179,51,18,38,"253,465",93,0,1,0,1,0,31,3
10,3,118,10,10,37,"253,465",93,0,1,0,0,0,28,
10,4,118,13,18,50,"253,465",93,1,1,1,1,0,,
10,5,,,9,30,"253,465",93,0,3,0,0,0,19,1
,6,179,51,18,38,"253,465",93,0,1,0,1,0,31,3
10,6,225,26,9,28,"253,465",93,0,1,1,0,0,24,3
10,3,118,10,10,37,"253,465",93,0,1,0,0,0,28,3
10,4,225,26,9,28,"253,465",93,0,1,1,0,0,24,2
10,4,248,25,14,47,"253,465",93,0,1,2,0,0,32,2
10,5,291,31,12,40,"253,465",93,0,1,1,1,0,25,5
10,4,179,51,18,38,"253,465",93,0,1,0,1,0,31,8
10,4,225,26,9,28,"253,465",93,0,1,1,0,0,24,3
10,5,260,50,11,36,"253,465",93,0,1,4,1,0,23,16
10,3,291,31,12,40,"253,465",93,0,1,1,1,0,25,8
10,3,225,26,9,28,"253,465",93,0,1,1,0,0,24,2
10,4,289,36,13,33,,93,0,,2,1,0,,8
10,6,361,52,3,28,"253,465",93,0,1,1,,0,27,1
10,6,,50,11,36,"253,465",93,0,1,,1,0,23,3
11,5,179,51,18,38,"306,345",93,0,1,0,1,0,31,1
11,4,225,,9,28,"306,345",93,0,1,1,0,0,24,1
11,5,179,51,18,38,"306,345",,0,1,0,1,0,31,8
11,5,179,22,17,40,"306,345",93,0,2,2,0,1,22,8
11,5,291,31,12,40,,93,0,1,1,1,0,25,5
11,2,155,12,14,34,"306,345",93,0,1,,,0,25,32
11,2,189,29,13,33,"306,345",93,0,1,2,0,0,25,8
11,2,291,31,12,40,"306,345",93,0,1,1,1,0,25,40
11,4,225,26,9,28,"306,345",93,0,1,1,0,0,24,1
11,6,155,12,14,34,"306,345",93,0,1,2,1,0,,8
11,4,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,4,179,22,17,40,"306,345",,0,2,2,,1,22,8
11,6,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,6,260,50,11,36,,93,0,1,4,1,0,23,4
11,2,248,25,14,47,"306,345",93,0,1,2,0,0,32,1
11,3,225,26,9,28,"306,345",93,0,1,1,0,0,24,3
11,4,289,36,13,33,"306,345",93,0,1,2,1,0,30,24
11,5,291,31,12,40,"306,345",93,0,1,1,1,0,25,3
12,3,248,25,14,47,"261,306",97,0,1,2,0,0,32,1
12,3,118,10,10,37,"261,306",97,0,1,0,0,0,,64
12,4,118,13,18,50,"261,306",97,0,1,1,1,0,,2
12,4,235,11,14,37,"261,306",97,0,3,1,0,0,29,8
12,5,225,26,9,28,"261,306",97,0,1,1,0,0,24,2
12,6,260,50,11,36,"261,306",97,0,1,4,1,0,23,8
12,3,118,10,10,37,,97,0,1,0,0,0,28,56
12,4,361,52,3,28,,97,0,1,1,1,0,27,8
12,5,225,26,,28,"261,306",97,0,1,1,0,0,,3
12,6,260,50,11,36,"261,306",97,0,1,4,1,0,,3
12,3,225,26,9,28,"261,306",97,0,1,1,0,0,,2
12,4,361,52,3,28,"261,306",97,,,1,1,0,27,8
12,6,118,10,10,37,"261,306",97,,,0,0,0,28,2
12,6,246,25,16,41,"261,306",97,0,1,0,1,0,23,8
12,6,225,26,9,,"261,306",,0,1,1,0,0,24,2
1,4,225,26,9,28,,95,0,1,1,0,0,24,1
1,2,118,10,10,37,,95,0,1,0,0,,28,1
1,3,118,10,,37,"308,593",95,0,,0,0,0,28,1
1,3,155,12,14,34,"308,593",,0,,2,1,0,25,8
1,4,225,26,9,28,"308,593",95,0,1,1,0,0,24,2
1,5,184,42,7,27,"308,593",95,0,1,0,0,0,21,2
1,5,225,26,9,28,"308,593",95,0,1,1,0,0,24,2
1,6,225,26,9,28,"308,593",95,0,1,1,0,0,24,1
1,2,118,10,10,37,"308,593",95,0,1,0,0,0,28,2
1,3,225,26,9,28,"308,593",95,0,1,1,0,0,24,2
1,3,118,10,10,37,"308,593",,0,1,0,0,0,28,2
1,4,118,10,10,37,"308,593",,0,1,0,0,0,28,2
1,5,118,10,10,37,"308,593",95,0,1,,0,0,28,2
1,6,118,10,10,37,"308,593",95,0,1,0,0,0,28,2
1,2,118,10,10,37,"308,593",95,0,,0,0,0,28,2
1,3,118,10,10,37,"308,593",95,0,,0,0,0,28,2
1,3,179,26,9,30,"308,593",95,,3,0,0,0,19,8
1,3,289,36,13,33,"308,593",95,0,1,2,1,0,30,8
1,4,118,10,,37,"308,593",95,0,,,0,0,28,2
1,5,184,42,7,27,,95,0,1,0,0,0,21,2
1,5,118,10,10,37,"308,593",95,,1,0,0,0,28,2
1,2,118,10,10,37,"308,593",95,0,1,0,0,0,28,0
1,3,225,26,9,28,"308,593",95,0,1,1,0,0,24,1
1,5,289,36,13,33,"308,593",95,0,1,2,1,0,30,3
2,6,184,42,7,27,"302,585",99,0,1,,0,0,21,1
2,4,246,25,16,41,"302,585",99,0,1,0,1,0,23,8
2,4,179,51,18,38,"302,585",99,0,1,0,1,0,31,8
2,5,155,12,14,34,"302,585",99,0,1,2,1,0,25,2
2,5,189,29,13,33,"302,585",99,0,1,2,0,0,25,8
2,6,260,50,11,36,"302,585",99,0,1,4,1,0,23,2
2,6,289,36,13,33,"302,585",99,0,1,2,1,0,30,8
2,2,388,15,9,50,"302,585",99,0,1,0,0,0,24,8
2,3,388,15,9,50,"302,585",99,0,1,0,0,0,24,8
2,2,225,26,9,28,"302,585",99,0,1,1,0,0,,2
2,3,225,26,9,28,"302,585",99,0,1,1,0,0,24,2
2,3,179,26,9,30,"302,585",99,0,3,0,0,0,19,1
2,3,184,42,7,27,"302,585",99,0,1,0,0,0,21,8
2,5,225,26,9,28,"302,585",99,0,1,1,0,0,24,3
2,2,330,16,4,28,"302,585",99,0,2,0,0,0,25,8
2,3,330,16,4,28,"302,585",99,0,2,0,0,0,,1
2,4,225,26,9,28,"302,585",99,0,1,1,0,0,,1
2,5,189,29,13,33,"302,585",99,0,1,2,0,0,25,8
3,3,291,50,12,32,"343,253",95,0,1,0,1,0,23,2
3,3,260,50,11,36,"343,253",95,0,1,4,1,0,23,8
3,3,157,27,6,29,"343,253",95,0,1,0,1,1,22,3
3,3,179,22,17,40,"343,253",95,0,2,2,0,1,,8
3,4,291,31,12,40,"343,253",95,0,1,1,1,0,,8
3,4,260,50,11,36,"343,253",95,0,1,4,1,0,,8
3,5,179,26,9,30,"343,253",95,0,3,0,0,0,,8
3,6,248,25,14,47,"343,253",95,0,1,2,0,0,32,3
3,6,260,50,11,36,"343,253",95,0,1,4,1,0,23,40
3,2,179,22,17,40,"343,253",95,0,2,2,0,1,22,40
3,2,155,12,14,34,"343,253",95,0,1,2,1,0,25,16
3,2,260,50,11,36,"343,253",95,0,1,4,1,0,23,16
3,3,155,12,14,34,"343,253",95,0,1,2,1,0,25,8
3,5,289,36,13,33,"343,253",95,0,1,2,1,0,30,8
3,5,179,22,17,40,"343,253",95,0,2,2,0,1,22,8
3,6,260,50,11,36,"343,253",95,0,1,4,1,0,23,4
3,6,225,26,9,28,"343,253",95,0,1,1,0,0,24,1
3,2,279,5,14,39,"343,253",95,0,1,2,1,1,24,8
3,3,179,51,18,38,"343,253",95,0,1,0,1,0,31,24
3,4,225,26,9,28,"343,253",95,0,1,1,0,0,24,2
3,2,225,26,9,28,"343,253",95,0,1,1,0,0,24,8
3,2,179,26,9,30,"343,253",95,0,3,0,0,0,19,1
3,3,225,26,9,28,"343,253",95,0,1,1,0,0,24,8
3,4,225,26,9,28,"343,253",95,0,1,1,0,0,24,16
3,4,179,51,18,38,"343,253",95,0,1,0,1,0,31,3
3,5,279,5,14,39,"343,253",95,0,1,2,1,1,24,16
3,6,225,26,9,28,"343,253",95,0,1,1,0,0,24,2
3,6,248,25,14,47,"343,253",95,0,1,2,0,0,32,3
3,2,225,26,9,28,"343,253",95,0,1,1,0,0,24,1
4,4,291,31,12,40,"326,452",96,0,1,1,1,0,25,1
4,4,225,26,9,28,"326,452",96,0,1,1,0,0,24,1
4,3,155,12,14,34,"326,452",96,0,1,2,1,0,25,1
4,4,246,25,16,41,"326,452",96,0,1,0,1,0,23,24
4,5,155,12,14,34,"326,452",96,0,1,2,1,0,25,1
4,6,225,26,9,28,"326,452",96,0,1,1,0,0,24,2
4,6,260,50,11,36,"326,452",96,0,1,4,1,0,23,4
4,4,179,51,18,38,"326,452",96,0,1,0,1,0,31,24
4,5,118,13,18,50,"326,452",96,0,1,1,1,0,31,1
4,6,291,31,12,40,"326,452",96,0,1,1,1,0,25,3
4,6,246,25,16,41,"326,452",96,0,1,0,1,0,23,8
4,6,291,31,12,40,"326,452",96,0,1,1,1,0,25,1
4,6,248,25,14,47,"326,452",96,0,1,2,0,0,32,8
4,6,260,50,11,36,"326,452",96,0,1,4,1,0,23,56
4,3,289,36,13,33,"326,452",96,0,1,2,1,0,30,8
4,4,155,12,14,34,"326,452",96,0,1,2,1,0,25,24
4,4,378,49,11,36,"326,452",96,0,1,2,0,1,21,8
4,5,289,36,13,33,"326,452",96,0,1,2,1,0,30,16
4,6,235,11,14,37,"326,452",96,0,3,1,0,0,29,3
4,2,235,29,12,48,"326,452",96,1,1,1,0,1,33,0
5,4,289,36,13,33,"378,884",92,0,1,2,1,0,30,8
5,5,155,12,14,34,"378,884",92,0,1,2,1,0,25,2
5,2,155,12,14,34,"378,884",92,0,1,2,1,0,25,1
5,3,179,51,18,38,"378,884",92,0,1,0,1,0,31,8
5,3,225,26,9,28,"378,884",92,0,1,1,0,0,24,8
5,4,184,42,7,27,"378,884",92,0,1,0,0,0,21,4
5,2,155,12,14,34,"378,884",92,0,1,2,1,0,25,2
5,3,179,51,18,38,"378,884",92,0,1,0,1,0,31,1
5,4,289,36,13,33,"378,884",92,0,1,2,1,0,30,24
5,4,279,5,14,39,"378,884",92,1,1,2,1,1,24,0
5,4,330,16,4,28,"378,884",92,1,2,0,0,0,25,0
5,4,378,49,11,36,"378,884",92,1,1,2,0,1,21,
5,4,388,15,9,50,"378,884",92,1,1,0,0,0,24,0
5,3,179,51,18,38,"378,884",92,0,1,0,1,0,31,1
5,4,118,13,18,50,"378,884",92,0,1,1,1,0,31,24
5,6,361,52,3,28,,92,0,1,1,1,0,27,
6,2,246,25,16,,"377,550",94,0,1,0,1,0,,8
6,2,361,52,3,28,"377,550",94,0,1,1,1,0,27,8
6,3,246,25,16,41,"377,550",94,0,1,0,1,0,23,24
6,5,291,31,12,40,"377,550",94,0,1,1,1,0,25,4
6,6,246,25,16,,"377,550",94,0,1,0,1,0,23,
6,2,179,51,18,38,"377,550",94,0,1,0,1,0,31,8
6,2,155,12,14,34,"377,550",94,0,1,2,1,0,25,4
6,2,246,25,16,41,"377,550",94,0,1,0,1,0,23,8
6,4,118,13,18,50,"377,550",94,0,1,1,1,0,31,8
6,6,235,11,14,37,"377,550",94,0,3,1,0,0,29,16
6,3,118,13,18,50,"377,550",94,0,1,1,1,0,31,1
6,4,118,13,18,50,"377,550",94,0,1,1,1,0,31,80
6,5,378,49,11,36,"377,550",94,0,1,2,0,1,21,8
6,6,179,51,18,38,"377,550",94,0,1,0,1,0,31,2
6,2,289,48,29,49,"377,550",94,0,1,0,0,0,36,2
6,5,225,26,9,28,"377,550",94,0,1,1,0,0,24,2
7,3,155,12,14,34,"275,312",98,0,1,2,1,0,25,16
7,4,118,13,18,50,"275,312",98,0,1,1,1,0,31,8
7,6,118,10,10,37,"275,312",98,0,1,0,0,0,28,8
7,6,118,10,10,37,"275,312",98,0,1,0,0,0,28,4
7,3,330,16,4,28,"275,312",98,0,2,0,0,0,25,8
7,5,179,26,9,30,"275,312",98,0,3,0,0,0,19,8
7,6,155,12,14,34,"275,312",98,0,1,2,1,0,25,2
7,2,330,16,4,28,"275,312",98,0,2,0,0,0,25,8
7,3,330,16,4,28,"275,312",98,0,2,0,0,0,25,8
7,2,157,27,6,29,"275,312",98,0,1,0,1,1,22,3
7,3,361,52,3,28,"275,312",98,0,1,1,1,0,27,8
7,4,289,36,13,33,"275,312",98,0,1,2,1,0,30,8
7,5,179,51,18,38,"275,312",98,0,1,0,1,0,31,8
7,2,289,36,13,33,"275,312",98,0,1,2,1,0,30,32
7,5,289,36,13,33,"275,312",98,0,1,2,1,0,30,8
7,5,260,50,11,36,"275,312",98,1,1,4,1,0,23,0
8,6,289,36,13,33,"265,615",94,0,1,2,1,0,30,8
8,6,157,27,6,29,"265,615",94,0,1,0,1,1,22,3
8,2,289,36,13,33,"265,615",94,0,1,2,1,0,30,1
8,3,228,14,16,58,"265,615",94,0,1,2,0,0,22,8
8,5,300,26,13,43,"265,615",94,0,1,2,1,1,25,1
8,5,300,26,13,43,"265,615",94,0,1,2,1,1,25,2
8,6,260,50,11,36,"265,615",94,0,1,4,1,0,23,4
8,3,289,36,13,33,"265,615",94,0,1,2,1,0,30,4
8,4,248,25,14,47,"265,615",94,0,1,2,0,0,32,1
8,5,268,11,8,33,"265,615",94,0,2,0,0,0,25,8
8,5,179,26,9,30,"265,615",94,0,3,0,0,0,19,1
8,5,118,13,18,50,"265,615",94,0,1,1,1,0,31,3
8,2,248,25,14,47,"265,615",94,0,1,2,0,0,32,2
8,3,235,11,14,37,"265,615",94,0,3,1,0,0,29,1
8,5,118,13,18,50,"265,615",94,0,1,1,1,0,31,1
8,5,235,11,14,37,"265,615",94,0,3,1,0,,29,8
8,3,361,52,3,28,"265,615",94,,,1,1,0,27,8
8,4,184,42,7,27,"265,615",94,0,1,0,0,0,21,
9,2,179,51,18,38,"294,217",81,0,1,0,1,0,31,8
9,6,179,51,18,38,"294,217",81,0,1,0,1,0,31,3
9,4,289,36,13,33,"294,217",81,0,1,2,1,,,24
9,5,235,20,13,43,"294,217",81,1,1,1,1,0,,0
9,2,246,25,16,41,"294,217",81,0,,0,1,0,23,16
9,3,291,31,12,40,"294,217",81,0,1,1,1,,25,3
9,3,231,35,14,39,"294,217",81,1,1,2,1,0,35,0
9,3,291,50,12,32,"294,217",81,1,1,0,1,0,23,0
9,4,179,51,18,38,"294,217",81,0,1,0,1,0,31,8
9,4,246,25,16,41,"294,217",81,0,1,0,1,0,23,32
9,5,179,51,18,38,"294,217",81,0,1,0,1,0,31,1
9,6,291,31,12,40,"294,217",81,0,1,1,1,0,25,4
9,6,260,50,11,36,"294,217",81,0,1,4,1,0,23,4
9,4,235,20,13,43,"294,217",81,0,1,1,1,0,38,8
9,5,118,13,18,50,"294,217",81,0,1,1,1,0,31,1
9,5,235,20,13,43,"294,217",81,1,1,1,1,0,38,0
9,6,291,31,12,40,"294,217",81,0,1,1,1,0,25,3
9,2,291,31,12,40,"294,217",81,0,1,1,1,0,25,40
9,2,179,51,18,38,"294,217",81,0,1,0,1,0,31,8
10,2,289,36,13,33,"265,017",88,0,1,2,1,0,30,8
10,2,235,11,14,37,"265,017",88,0,3,1,0,0,29,4
10,2,289,36,13,33,"265,017",88,0,1,2,1,0,30,8
10,6,289,36,13,33,"265,017",88,0,1,2,1,0,30,8
10,6,118,13,18,50,"265,017",88,1,1,1,1,0,31,0
10,6,248,25,14,47,"265,017",88,1,1,2,0,0,32,0
10,2,179,26,9,30,"265,017",88,0,3,0,0,0,19,8
10,2,118,10,10,37,"265,017",88,0,1,0,0,0,28,3
10,2,369,17,12,31,"265,017",88,0,1,3,1,0,25,8
10,4,179,51,18,38,"265,017",88,0,1,0,1,0,31,1
10,4,179,26,9,30,"265,017",88,0,3,0,0,0,19,64
10,4,235,20,13,43,"265,017",88,1,1,1,1,0,38,0
10,5,289,36,13,33,"265,017",88,0,1,2,1,0,30,16
10,6,260,50,11,36,"265,017",88,0,1,4,1,0,23,
10,6,235,20,13,43,"265,017",88,1,1,1,1,0,38,0
10,2,235,20,13,43,"265,017",88,0,1,1,1,0,38,2
10,2,235,20,13,43,"265,017",88,0,1,1,1,0,38,2
10,3,118,13,18,50,"265,017",88,0,1,1,1,0,31,1
10,3,291,31,12,40,"265,017",88,0,1,1,1,0,25,4
10,5,179,26,9,30,"265,017",88,0,3,0,0,0,19,16
10,5,118,13,18,50,"265,017",88,0,1,1,1,0,31,1
10,2,361,52,3,28,"265,017",88,0,1,1,1,0,27,8
10,3,260,50,11,36,"265,017",88,1,1,4,1,0,23,0
10,3,291,31,12,40,"265,017",88,1,1,1,1,0,25,0
10,3,157,27,6,29,"265,017",88,1,1,0,1,1,22,
10,4,179,26,9,30,"265,017",88,0,3,0,0,0,19,5
10,4,179,26,9,30,"265,017",88,0,3,0,0,0,19,5
10,5,118,13,18,50,"265,017",88,0,1,1,1,0,31,1
11,2,118,10,10,37,"284,031",97,0,1,0,0,0,28,8
11,2,248,25,14,47,"284,031",97,0,1,2,0,0,32,2
11,3,179,51,18,38,"284,031",97,0,1,0,1,0,31,8
11,6,260,50,11,36,"284,031",97,0,1,4,1,0,23,3
11,2,291,31,12,40,"284,031",97,0,1,1,1,0,25,1
11,2,378,49,11,36,"284,031",97,0,1,2,0,1,21,8
11,2,155,12,14,34,"284,031",97,0,1,2,1,0,25,
11,2,235,20,13,43,"284,031",97,0,1,1,1,0,38,8
11,3,330,16,4,28,"284,031",97,1,2,0,0,0,25,0
11,4,235,11,14,37,"284,031",97,0,3,1,0,0,29,1
11,4,118,10,10,37,"284,031",97,0,1,0,0,0,28,3
11,5,235,11,14,37,"284,031",97,0,3,1,0,0,29,2
11,5,179,51,18,38,"284,031",97,0,1,0,1,0,31,3
11,6,246,25,16,41,"284,031",97,0,1,0,1,0,23,8
11,6,291,31,12,40,"284,031",97,0,1,1,1,0,25,4
11,2,246,25,16,41,"284,031",97,0,1,0,1,0,23,8
11,3,179,51,18,38,"284,031",97,0,1,0,1,0,31,1
11,4,260,50,11,36,"284,031",97,0,1,4,1,0,23,8
11,6,260,50,11,36,"284,031",97,0,1,4,1,0,23,8
11,6,378,49,11,36,"284,031",97,1,1,2,0,1,21,0
11,3,279,5,14,39,"284,031",97,1,1,2,1,1,24,120
11,5,179,51,18,38,"284,031",97,0,1,0,1,0,31,1
12,2,225,26,9,28,"236,629",93,0,1,1,0,0,24,3
12,2,179,51,18,38,"236,629",93,0,1,0,1,0,31,2
12,2,179,51,18,38,"236,629",93,0,1,0,1,0,31,1
12,2,235,11,14,37,"236,629",93,0,3,1,0,0,29,3
12,3,118,13,18,50,"236,629",93,0,1,1,1,0,31,1
12,6,260,50,11,36,"236,629",93,0,1,4,1,0,23,4
12,5,246,25,16,41,"236,629",93,0,1,0,1,0,23,8
12,5,179,51,18,38,"236,629",93,0,1,0,1,0,31,1
12,6,179,51,18,38,"236,629",93,0,1,0,1,0,31,1
12,3,179,26,9,30,"236,629",93,0,3,0,0,0,19,1
12,3,118,10,10,37,"236,629",93,0,1,0,0,0,28,8
12,5,235,11,14,37,"236,629",93,0,3,,0,0,29,2
12,6,179,51,18,38,"236,629",93,0,1,0,1,0,31,1
12,3,235,20,13,43,"236,629",93,0,1,1,1,0,38,8
12,3,235,11,14,37,"236,629",93,0,3,1,0,0,29,4
12,4,260,50,11,36,"236,629",93,0,1,4,1,0,23,8
12,2,157,27,6,29,"236,629",93,0,1,0,1,1,22,2
12,2,179,51,18,38,"236,629",93,0,1,0,1,0,31,3
12,2,289,36,13,33,"236,629",93,0,1,2,1,0,30,8
1,4,225,26,9,28,"330,061",100,0,1,1,0,0,24,5
1,2,118,10,10,37,"330,061",100,0,1,0,0,0,28,32
1,2,155,12,14,34,"330,061",100,0,1,2,1,0,25,2
1,3,235,11,14,37,"330,061",100,0,3,1,0,0,29,1
1,3,155,12,14,34,"330,061",100,0,1,2,1,0,25,4
1,2,289,36,13,33,"330,061",100,0,1,2,1,0,30,8
1,4,291,31,12,40,"330,061",100,0,1,1,1,0,25,8
1,2,235,20,13,43,"330,061",100,0,1,1,1,0,38,8
1,2,118,13,18,50,"330,061",100,0,1,1,1,0,31,4
1,4,179,51,18,38,"330,061",100,0,1,0,1,0,31,1
